"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"F-150",5,0.998279037321683,1.67021504855855,5,11,1,1,NA,30,NA,NA,NA,NA,42,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,4.06340647900663,-9.71969849315261,13,14,4,1,7,12,6,4,1,22,35,0,1,1,67,10000,NA,680,NA,72,1,53000,25,949994,1,2,3,3,4,3,3,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,2,2,2,4
"F-150 Lightning EV",3,3.15570407657407,-9.79755288244976,10,11,3,1,4,29,7,2,3,5,4,1,2,1,19,NA,NA,950,NA,78,NA,74000,82,346380,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,3,4,5,5,5,5,5,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,3.12412756314371,-5.89798431828711,10,16,2,1,1,26,10,1,2,23,14,0,1,1,58,38000,NA,195,NA,60,NA,49000,30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,4,5,5,4,3,2,4,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"F-150 Hybrid",5,1.09624299946323,4.88812226101254,11,13,3,1,NA,25,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150",3,3.56734757030692,-8.93156309040679,11,16,4,1,6,30,6,2,1,11,48,0,1,NA,NA,NA,NA,560,36,NA,NA,NA,47,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,2,2,3,4,1,4,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"F-150 Hybrid",5,-0.544799908716408,1.69751832592278,6,16,1,2,3,30,4,3,1,4,33,0,2,1,49,20000,NA,945,NA,75,1,84400,12,NA,10,1,3,3,3,3,4,1,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,3,4,3,3,4
"F-150 Lightning EV",5,-0.976914852322301,-0.544283505686561,10,14,3,1,NA,16,NA,NA,NA,NA,22,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F-150 Hybrid",5,-1.2019510782875,1.78412393652412,7,13,1,1,1,14,5,2,1,17,21,0,2,2,NA,NA,NA,447,36,NA,1,NA,27,NA,1,1,3,3,4,3,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,4,3
"F-150",3,3.74116913878518,-9.37379873559674,10,12,3,1,3,20,6,2,1,12,13,0,2,1,NA,NA,NA,389,36,NA,1,NA,12,779440,7,2,3,3,4,3,3,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,2,3,3,3
