"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"GX550",1,-0.641196751524048,9.87717846239676,7,11,1,1,9,23,10,1,2,12,41,0,2,1,NA,NA,20000,NA,NA,NA,NA,80000,53,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,5,4,4,4,3,4,5,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,-0.536243409810378,-2.93388877534706,11,NA,3,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80000,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",3,0.405176564834919,-1.86718252392324,7,11,2,1,9,32,5,1,1,11,12,0,2,NA,NA,NA,NA,1007,36,NA,NA,NA,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,3,3,4,4,3,4,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"Land Cruiser Hybrid",2,-7.51533451460339,1.42560558422643,7,13,1,1,NA,29,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,3,2,2,2,1,1,2,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",1,0.0611713455665068,10.1974908521473,6,11,1,1,NA,31,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GX550",3,0.147464521612676,-2.13763055675536,13,11,4,1,NA,20,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",3,2.14055413617854,0.541231795063807,7,11,2,1,NA,29,NA,NA,NA,NA,32,NA,NA,1,NA,NA,NA,448,39,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustang Mach-E",2,-6.63971452120472,1.56012122039156,4,11,1,1,7,29,4,3,1,3,20,0,2,2,NA,NA,NA,401,36,NA,1,NA,51,NA,6,2,4,4,3,2,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,2,3,1,2
"Mustang Mach-E",3,1.90516335227836,-0.557849581246672,8,13,2,1,NA,15,10,2,4,3,4,0,2,2,NA,NA,NA,480,36,NA,1,NA,61,NA,10,2,4,3,4,3,4,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,3,1,1,2,2
"Mustang Mach-E",3,1.03389298136075,-0.866302707184635,10,11,3,2,1,15,6,3,1,12,4,0,2,1,0,22000,6025,260,NA,72,1,48000,41,NA,13,2,4,3,4,4,3,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,2,2,3,2
