"BLD_DESC_RV_MODEL","cluster","emb_x","emb_y","BLD_AGE_GRP","DEMO_EDUCATION","GENERATION_GRP","DEMO_GENDER1","BLD_HOBBY1_GRP","DEMO_INCOME","BLD_LIFESTAGE","DEMO_LOCATION","DEMO_MARITAL","DEMO_EMPLOY","ADMARK_STATE","BLD_CHILDREN","DEMO_EMPTY_NESTER","C1_PL","FIN_PU_APR","FIN_PU_DOWN_PAY","FIN_PU_TRADE_IN","BLD_FIN_TOTAL_MONPAY","FIN_LE_LENGTH","FIN_PU_LENGTH","FIN_CREDIT","FIN_PRICE_UNEDITED","PR_MOST","C2S_MODEL_RESPONSE","SRC_TOP1","OL_MODEL_GRP","STATE_BUY_BEST","STATE_CONTINUE","STATE_FEEL_GOOD","STATE_REFER","STATE_PRESTIGE","STATE_EURO","STATE_AMER","STATE_ASIAN","STATE_SWITCH_FEAT","STATE_VALUES","PV_TAX_INS","PV_SPEND_LUXURY","PV_PRESTIGE","PV_QUALITY","PV_RESALE","PV_INEXP_MAINTAIN","PV_AVOID","PV_SURVIVE","PV_PAY_MORE","PV_BREAKDOWN","PV_VALUE","PV_SPEND","PV_LEASE","PV_PUTOFF","STATE_BALANCE","STATE_WAIT","STATE_ENJOY_PRESTIGE","STATE_FIRST_YR","STATE_NO_LOW_PRICE","STATE_AUDIO","STATE_MON_PAY","STATE_SHOP_MANY"
"Grand Cherokee WL",7,-3.59935773172137,10.6330016706701,5,16,1,1,1,12,9,2,2,3,5,0,2,2,50,5000,NA,912,NA,84,NA,45000,22,273150,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,3,2,5,2,4,2,5,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,1.94063461142716,-4.17606108847343,12,13,4,1,NA,26,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,4,5,5,5,4,5,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee L",6,5.07862724178985,-0.769713295389059,11,15,4,2,NA,20,NA,NA,NA,NA,34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee Plug-In Hybrid",6,0.293493119669288,-2.7625303282689,6,16,1,2,7,13,1,2,1,20,21,3,2,NA,NA,NA,NA,498,36,NA,2,NA,81,NA,1,2,3,4,4,2,1,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,3,2
"Grand Cherokee WL",6,1.57724056129822,-3.55364166728311,8,16,2,1,6,20,10,2,2,14,4,0,2,NA,89,10000,NA,875,NA,60,NA,45000,33,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,5,4,3,4,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,0.06538364262253,0.165483735422284,12,13,4,2,NA,20,NA,NA,NA,NA,39,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee L",7,-3.3846860382958,10.2610847677183,13,11,4,1,NA,14,NA,NA,NA,NA,21,NA,NA,2,74,7000,NA,895,NA,48,1,45000,54,NA,1,2,3,4,4,4,3,1,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,4,1,2,3
"Grand Cherokee L",6,3.97590141128942,-0.127296782073068,12,11,4,2,NA,20,NA,NA,NA,NA,42,NA,NA,1,NA,NA,10000,NA,NA,NA,NA,43000,48,NA,NA,2,3,3,3,3,2,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,1,1,1,3
"Grand Cherokee WL",1,-16.9943114907402,-0.645663562662529,13,12,5,2,1,13,6,3,1,22,31,0,1,NA,NA,NA,NA,515,36,NA,NA,NA,83,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,3,3,3,4,4,4,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Cherokee WL",6,1.39934075828287,0.980082420949458,13,13,4,1,1,29,6,3,1,22,6,0,2,1,34,15000,NA,600,NA,72,NA,52000,47,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,2,2,4,4,4,4,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA
